t,vx_mm_s,vy_mm_s,wz_rad_s,velocity_mm_s,direction_deg,is_rotation_only,rpm_ref_M1,rpm_ref_M2,rpm_ref_M3,rpm_ref_M4,rpm_meas_M1,rpm_meas_M2,rpm_meas_M3,rpm_meas_M4,err_M1,err_M2,err_M3,err_M4,p_M1,p_M2,p_M3,p_M4,i_M1,i_M2,i_M3,i_M4,motor_sign_M1,motor_sign_M2,motor_sign_M3,motor_sign_M4,duty_ol_base_M1,duty_ol_base_M2,duty_ol_base_M3,duty_ol_base_M4,duty_pi_M1,duty_pi_M2,duty_pi_M3,duty_pi_M4,time_s
1784751739.729526,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1,-1,1,0,0,0,0,0,0,0,0,0.9597890377044678
1784751739.7495706,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1,-1,1,0,0,0,0,0,0,0,0,0.9798336029052734
1784751739.769718,25.811207247803477,0.0,0.12,25.811207247803477,0.0,0,17.809058289701976,-2.641127628813561,17.809058289701976,-2.641127628813561,0.0,0.0,-0.0,0.0,17.809058289701976,-2.641127628813561,17.809058289701976,-2.641127628813561,6.233170401395691,-0.9243946700847464,6.233170401395691,-0.9243946700847464,0.1602815246073178,-0.023770148659322,0.1602815246073178,-0.023770148659322,-1,1,-1,1,-14,-13,-14,-13,-20,-14,-20,-14,0.9999809265136719
1784751739.7895167,25.811207247803477,0.0,0.12,25.811207247803477,0.0,0,17.809058289701976,-2.641127628813561,17.809058289701976,-2.641127628813561,0.0,0.0,-0.0,0.0,17.809058289701976,-2.641127628813561,17.809058289701976,-2.641127628813561,6.233170401395691,-0.9243946700847464,6.233170401395691,-0.9243946700847464,0.3205630492146356,-0.0475402973186441,0.3205630492146356,-0.0475402973186441,-1,1,-1,1,-14,-13,-14,-13,-21,-14,-21,-14,1.0197796821594238
1784751739.8095226,25.811207247803477,0.0,0.12,25.811207247803477,0.0,0,17.809058289701976,-2.641127628813561,17.809058289701976,-2.641127628813561,0.0,0.0,-0.0,0.0,17.809058289701976,-2.641127628813561,17.809058289701976,-2.641127628813561,6.233170401395691,-0.9243946700847464,6.233170401395691,-0.9243946700847464,0.4808445738219533,-0.0713104459779661,0.4808445738219533,-0.0713104459779661,-1,1,-1,1,-14,-13,-14,-13,-21,-14,-21,-14,1.039785623550415
1784751739.8295152,25.811207247803477,0.0,0.12,25.811207247803477,0.0,0,17.809058289701976,-2.641127628813561,17.809058289701976,-2.641127628813561,0.2300000041723251,-0.2300000041723251,0.449999988079071,-0.2300000041723251,17.57905828552965,-2.411127624641236,17.359058301622905,-2.411127624641236,6.152670399935378,-0.8438946686244326,6.075670405568016,-0.8438946686244326,0.6390560983917202,-0.0930105945997372,0.6370760985365596,-0.0930105945997372,-1,1,-1,1,-14,-13,-14,-13,-21,-14,-21,-14,1.0597782135009766
1784751739.8495777,25.811207247803477,0.0,0.12,25.811207247803477,0.0,0,17.809058289701976,-2.641127628813561,17.809058289701976,-2.641127628813561,0.2300000041723251,-0.2300000041723251,0.449999988079071,-0.2300000041723251,17.57905828552965,-2.411127624641236,17.359058301622905,-2.411127624641236,6.152670399935378,-0.8438946686244326,6.075670405568016,-0.8438946686244326,0.797267622961487,-0.1147107432215084,0.7933076232511658,-0.1147107432215084,-1,1,-1,1,-14,-13,-14,-13,-21,-14,-21,-14,1.0798406600952148
1784751739.8696785,25.811207247803477,0.0,0.12,25.811207247803477,0.0,0,17.809058289701976,-2.641127628813561,17.809058289701976,-2.641127628813561,1.059999942779541,-0.8399999737739563,1.0,-1.059999942779541,16.749058346922435,-1.801127655039605,16.809058289701976,-1.5811276860340202,5.862170421422852,-0.6303946792638617,5.883170401395692,-0.553394690111907,0.9480091480837888,-0.1309208921168648,0.9445891478584836,-0.1289408923958145,-1,1,-1,1,-14,-13,-14,-13,-21,-14,-21,-14,1.0999414920806885
1784751739.8896153,25.811207247803477,0.0,0.12,25.811207247803477,0.0,0,17.809058289701976,-2.641127628813561,17.809058289701976,-2.641127628813561,1.059999942779541,-0.8399999737739563,1.0,-1.059999942779541,16.749058346922435,-1.801127655039605,16.809058289701976,-1.5811276860340202,5.862170421422852,-0.6303946792638617,5.883170401395692,-0.553394690111907,1.0987506732060908,-0.1471310410122212,1.0958706724658014,-0.1431710415701207,-1,1,-1,1,-14,-13,-14,-13,-21,-14,-21,-14,1.1198782920837402
1784751739.9096231,25.811207247803477,0.0,0.12,25.811207247803477,0.0,0,17.809058289701976,-2.641127628813561,17.809058289701976,-2.641127628813561,1.059999942779541,-0.8399999737739563,1.0,-1.059999942779541,16.749058346922435,-1.801127655039605,16.809058289701976,-1.5811276860340202,5.862170421422852,-0.6303946792638617,5.883170401395692,-0.553394690111907,1.2494921983283926,-0.1633411899075777,1.2471521970731192,-0.1574011907444269,-1,1,-1,1,-14,-13,-14,-13,-21,-14,-21,-14,1.1398861408233643
1784751739.9295075,25.811207247803477,0.0,0.12,25.811207247803477,0.0,0,17.809058289701976,-2.641127628813561,17.809058289701976,-2.641127628813561,1.2000000476837158,-0.5899999737739563,1.600000023841858,-0.7400000095367432,16.60905824201826,-2.051127655039605,16.20905826586012,-1.901127619276818,5.813170384706391,-0.7178946792638616,5.673170393051041,-0.6653946667468863,1.398973722506557,-0.1818013388029341,1.3930337214658604,-0.1745113393179183,-1,1,-1,1,-14,-13,-14,-13,-21,-14,-21,-14,1.1597704887390137
1784751739.9495842,25.811207247803477,0.0,0.12,25.811207247803477,0.0,0,17.809058289701976,-2.641127628813561,17.809058289701976,-2.641127628813561,1.2000000476837158,-0.5899999737739563,1.600000023841858,-0.7400000095367432,16.60905824201826,-2.051127655039605,16.20905826586012,-1.901127619276818,5.813170384706391,-0.7178946792638616,5.673170393051041,-0.6653946667468863,1.5484552466847217,-0.2002614876982905,1.5389152458586015,-0.1916214878914096,-1,1,-1,1,-14,-13,-14,-13,-21,-14,-21,-14,1.179847240447998
1784751739.9696133,25.811207247803477,0.0,0.12,25.811207247803477,0.0,0,17.809058289701976,-2.641127628813561,17.809058289701976,-2.641127628813561,1.2899999618530271,-0.4099999964237213,1.7999999523162842,-0.5199999809265137,16.51905832784895,-2.23112763238984,16.009058337385692,-2.121127647887048,5.781670414747132,-0.780894671336444,5.603170418084992,-0.7423946767604666,1.697126771635362,-0.2203416363897991,1.6829967708950728,-0.210711636722393,-1,1,-1,1,-14,-13,-14,-13,-21,-14,-21,-14,1.199876308441162
1784751739.989543,25.811207247803477,0.0,0.12,25.811207247803477,0.0,0,17.809058289701976,-2.641127628813561,17.809058289701976,-2.641127628813561,1.2899999618530271,-0.4099999964237213,1.7999999523162842,-0.5199999809265137,16.51905832784895,-2.23112763238984,16.009058337385692,-2.121127647887048,5.781670414747132,-0.780894671336444,5.603170418084992,-0.7423946767604666,1.8457982965860025,-0.2404217850813077,1.827078295931544,-0.2298017855533765,-1,1,-1,1,-14,-13,-14,-13,-22,-14,-21,-14,1.2198059558868408
1784751740.0096066,25.811207247803477,0.0,0.12,25.811207247803477,0.0,0,17.809058289701976,-2.641127628813561,17.809058289701976,-2.641127628813561,1.2899999618530271,-0.4099999964237213,1.7999999523162842,-0.5199999809265137,16.51905832784895,-2.23112763238984,16.009058337385692,-2.121127647887048,5.781670414747132,-0.780894671336444,5.603170418084992,-0.7423946767604666,1.994469821536643,-0.2605019337728163,1.9711598209680157,-0.2488919343843599,-1,1,-1,1,-14,-13,-14,-13,-22,-14,-22,-14,1.2398695945739746
1784751740.0296764,25.811207247803477,0.0,0.12,25.811207247803477,0.0,0,17.809058289701976,-2.641127628813561,17.809058289701976,-2.641127628813561,1.1299999952316284,-0.2899999916553497,1.2599999904632568,-0.3700000047683716,16.679058294470348,-2.3511276371582115,16.54905829923872,-2.2711276240451896,5.837670403064622,-0.822894673005374,5.792170404733551,-0.7948946684158164,2.144581346186876,-0.2816620825072402,2.120101345661164,-0.2693320830007666,-1,1,-1,1,-14,-13,-14,-13,-22,-14,-22,-14,1.259939432144165
1784751740.049543,25.811207247803477,0.0,0.12,25.811207247803477,0.0,0,17.809058289701976,-2.641127628813561,17.809058289701976,-2.641127628813561,1.1299999952316284,-0.2899999916553497,1.2599999904632568,-0.3700000047683716,16.679058294470348,-2.3511276371582115,16.54905829923872,-2.2711276240451896,5.837670403064622,-0.822894673005374,5.792170404733551,-0.7948946684158164,2.294692870837109,-0.3028222312416641,2.269042870354312,-0.2897722316171733,-1,1,-1,1,-14,-13,-14,-13,-22,-14,-22,-14,1.2798058986663818
1784751740.069656,25.811207247803477,0.0,0.12,25.811207247803477,0.0,0,17.809058289701976,-2.641127628813561,17.809058289701976,-2.641127628813561,0.7900000214576721,-0.2000000029802322,1.1100000143051147,-0.4799999892711639,17.019058268244304,-2.441127625833329,16.69905827539686,-2.1611276395423973,5.956670393885506,-0.8543946690416651,5.844670396388901,-0.756394673839839,2.447864395251308,-0.324792379874164,2.419334394832884,-0.3092223803730549,-1,1,-1,1,-14,-13,-14,-13,-22,-14,-22,-14,1.2999188899993896
1784751740.089505,25.811207247803477,0.0,0.12,25.811207247803477,0.0,0,17.809058289701976,-2.641127628813561,17.809058289701976,-2.641127628813561,0.7900000214576721,-0.2000000029802322,1.1100000143051147,-0.4799999892711639,17.019058268244304,-2.441127625833329,16.69905827539686,-2.1611276395423973,5.956670393885506,-0.8543946690416651,5.844670396388901,-0.756394673839839,2.601035919665507,-0.346762528506664,2.569625919311456,-0.3286725291289364,-1,1,-1,1,-14,-13,-14,-13,-23,-14,-22,-14,1.319767951965332
1784751740.1095588,25.811207247803477,0.0,0.12,25.811207247803477,0.0,0,17.809058289701976,-2.641127628813561,17.809058289701976,-2.641127628813561,0.7900000214576721,-0.2000000029802322,1.1100000143051147,-0.4799999892711639,17.019058268244304,-2.441127625833329,16.69905827539686,-2.1611276395423973,5.956670393885506,-0.8543946690416651,5.844670396388901,-0.756394673839839,2.754207444079705,-0.3687326771391639,2.7199174437900275,-0.348122677884818,-1,1,-1,1,-14,-13,-14,-13,-23,-14,-23,-14,1.3398218154907227
1784751740.1295078,25.811207247803477,0.0,0.12,25.811207247803477,0.0,0,17.809058289701976,-2.641127628813561,17.809058289701976,-2.641127628813561,0.7799999713897705,-0.1400000005960464,1.0,-0.3400000035762787,17.029058318312206,-2.5011276282175148,16.809058289701976,-2.3011276252372825,5.960170411409272,-0.8753946698761301,5.883170401395692,-0.8053946688330489,2.9074689689445155,-0.3912428257931216,2.871198968397345,-0.3688328265119536,-1,1,-1,1,-14,-13,-14,-13,-23,-14,-23,-14,1.3597707748413086
